source_id,source_path,output_path,category,face_probability,face_area_ratio,face_center_distance,pose_visibility,pose_landmarks_visible,blur_score,quality_score,selected,rejection_reason,identity_cluster_similarity,identity_cluster_score
valentina_sol_playa_001,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_001_00001_.png,,playa,1.0,0.07561,0.19223,0.9987,13,1.0,88.33,True,,0.4715,0.0
valentina_sol_playa_002,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_002_00001_.png,,playa,0.9999,0.10673,0.16638,0.9198,23,1.0,84.0,True,,0.44205,0.0
valentina_sol_playa_003,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_003_00001_.png,,playa,1.0,0.08353,0.15315,0.979,14,1.0,88.31,True,,0.53727,0.0
valentina_sol_playa_004,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_004_00001_.png,,playa,0.9992,0.30978,0.08612,0.9486,13,1.0,71.97,False,forbidden_prompt:sunglasses,,
valentina_sol_playa_005,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_005_00001_.png,,playa,0.9983,0.09789,0.19321,0.9859,13,0.9163,80.9,True,,0.33592,0.0
valentina_sol_playa_006,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_006_00001_.png,,playa,0.9999,0.10144,0.03803,0.9959,13,1.0,87.29,True,,0.54247,0.0
valentina_sol_playa_007,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_007_00001_.png,,playa,0.9997,0.06633,0.18735,0.9563,14,1.0,86.7,True,,0.37741,0.0
valentina_sol_playa_008,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_008_00001_.png,,playa,1.0,0.14161,0.1138,0.9485,16,1.0,75.55,True,,0.51091,0.0
valentina_sol_playa_009,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_009_00001_.png,,playa,1.0,0.08389,0.14982,0.9646,23,1.0,91.39,True,,0.53054,0.0
valentina_sol_playa_010,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_010_00001_.png,,playa,1.0,0.18009,0.07876,0.999,13,1.0,72.82,False,forbidden_prompt:looking back over shoulder,,
valentina_sol_playa_011,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_011_00001_.png,,playa,1.0,0.1251,0.02638,0.9988,13,1.0,81.45,True,,0.53068,0.0
valentina_sol_playa_012,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_012_00001_.png,,playa,0.9999,0.11078,0.08749,0.9996,13,1.0,82.95,True,,0.50767,0.0
valentina_sol_playa_013,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_013_00001_.png,,playa,1.0,0.2297,0.02496,0.949,13,1.0,74.33,False,forbidden_prompt:sun hat,,
valentina_sol_playa_014,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_014_00001_.png,,playa,1.0,0.20269,0.1161,0.962,17,1.0,74.21,False,forbidden_prompt:side profile,,
valentina_sol_playa_015,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_015_00001_.png,,playa,1.0,0.10978,0.04172,0.9629,14,0.7405,81.48,True,,0.46627,0.0
valentina_sol_playa_016,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_016_00001_.png,,playa,1.0,0.08689,0.0997,0.9067,22,1.0,91.63,True,,0.41735,0.0
valentina_sol_playa_017,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_017_00001_.png,,playa,1.0,0.09598,0.1765,0.9658,15,1.0,84.75,True,,0.44097,0.0
valentina_sol_playa_018,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_018_00001_.png,,playa,1.0,0.33221,0.11136,0.967,14,1.0,72.04,False,face_too_close,,
valentina_sol_playa_019,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_019_00001_.png,,playa,0.9999,0.07042,0.05415,0.9991,13,1.0,92.53,True,,0.38468,0.0
valentina_sol_playa_020,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_020_00001_.png,,playa,0.9998,0.08274,0.0625,0.9792,14,1.0,91.97,True,,0.47193,0.0
valentina_sol_cafeteria_001,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_001_00001_.png,,cafeteria,0.9998,0.05413,0.17885,0.9037,21,1.0,86.17,True,,0.47768,0.0
valentina_sol_cafeteria_002,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_002_00001_.png,,cafeteria,1.0,0.03859,0.10147,0.9182,25,1.0,85.2,True,,0.41273,0.0
valentina_sol_cafeteria_003,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_003_00001_.png,,cafeteria,0.9996,0.32279,0.18928,0.9971,13,0.9793,68.27,False,face_too_close,,
valentina_sol_cafeteria_004,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_004_00001_.png,,cafeteria,1.0,0.09335,0.09297,0.9938,14,1.0,88.16,True,,0.42885,0.0
valentina_sol_cafeteria_005,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_005_00001_.png,,cafeteria,1.0,0.16517,0.09569,0.9018,21,1.0,74.88,True,,0.43297,0.0
valentina_sol_cafeteria_006,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_006_00001_.png,,cafeteria,1.0,0.12789,0.14777,0.9052,18,0.865,76.82,True,,0.40306,0.0
valentina_sol_cafeteria_007,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_007_00001_.png,,cafeteria,1.0,0.14011,0.15057,0.9912,13,1.0,72.64,True,,0.44438,0.0
valentina_sol_cafeteria_008,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_008_00001_.png,,cafeteria,0.9999,0.03858,0.0632,0.9328,26,1.0,86.87,True,,0.37584,0.0
valentina_sol_cafeteria_009,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_009_00001_.png,,cafeteria,1.0,0.13055,0.05235,0.9794,13,1.0,78.8,True,,0.4628,0.0
valentina_sol_cafeteria_010,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_010_00001_.png,,cafeteria,0.9997,0.08819,0.15784,0.9622,25,1.0,89.89,True,,0.37714,0.0
valentina_sol_cafeteria_011,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_011_00001_.png,,cafeteria,1.0,0.13962,0.05072,0.9976,13,1.0,76.64,True,,0.51934,0.0
valentina_sol_cafeteria_012,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_012_00001_.png,,cafeteria,1.0,0.23985,0.04035,0.9948,13,1.0,74.24,True,,0.44829,0.0
valentina_sol_cafeteria_013,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_013_00001_.png,,cafeteria,0.9999,0.13402,0.12793,0.9716,14,0.8445,73.39,False,forbidden_prompt:through cafe window reflection,,
valentina_sol_cafeteria_014,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_014_00001_.png,,cafeteria,0.9997,0.09091,0.08001,0.9895,14,1.0,89.24,True,,0.44433,0.0
valentina_sol_cafeteria_015,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_015_00001_.png,,cafeteria,1.0,0.08776,0.10123,0.9031,23,1.0,91.29,True,,0.53469,0.0
valentina_sol_cafeteria_016,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_016_00001_.png,,cafeteria,1.0,0.07932,0.13805,0.931,27,1.0,92.55,True,,0.47448,0.0
valentina_sol_cafeteria_017,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_017_00001_.png,,cafeteria,1.0,0.13122,0.12412,0.9983,13,1.0,76.1,True,,0.46144,0.0
valentina_sol_cafeteria_018,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_018_00001_.png,,cafeteria,0,0,1,0.8986859464645386,25,1.0,0,False,face_not_single_or_not_detected,,
valentina_sol_cafeteria_019,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_019_00001_.png,,cafeteria,0.9998,0.06776,0.19907,0.9318,18,1.0,89.46,True,,0.48344,0.0
