source_id,source_path,output_path,category,face_probability,face_area_ratio,face_center_distance,pose_visibility,pose_landmarks_visible,blur_score,quality_score,selected,rejection_reason,identity_cluster_similarity,identity_cluster_score
valentina_sol_cafeteria_016,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_016_00001_.png,dataset_lora/images/elena_voss_001.png,cafeteria,1.0,0.07932,0.13805,0.931,27,1.0,92.55,True,,0.47448,0.0
valentina_sol_cafeteria_015,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_015_00001_.png,dataset_lora/images/elena_voss_002.png,cafeteria,1.0,0.08776,0.10123,0.9031,23,1.0,91.29,True,,0.53469,0.0
valentina_sol_cafeteria_010,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_010_00001_.png,dataset_lora/images/elena_voss_003.png,cafeteria,0.9997,0.08819,0.15784,0.9622,25,1.0,89.89,True,,0.37714,0.0
valentina_sol_cafeteria_019,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_019_00001_.png,dataset_lora/images/elena_voss_004.png,cafeteria,0.9998,0.06776,0.19907,0.9318,18,1.0,89.46,True,,0.48344,0.0
valentina_sol_cafeteria_014,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_014_00001_.png,dataset_lora/images/elena_voss_005.png,cafeteria,0.9997,0.09091,0.08001,0.9895,14,1.0,89.24,True,,0.44433,0.0
valentina_sol_cafeteria_004,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_004_00001_.png,dataset_lora/images/elena_voss_006.png,cafeteria,1.0,0.09335,0.09297,0.9938,14,1.0,88.16,True,,0.42885,0.0
valentina_sol_gym_015,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_015_00001_.png,dataset_lora/images/elena_voss_007.png,gym,0.9998,0.09209,0.13548,0.9756,23,1.0,89.91,True,,0.46572,0.0
valentina_sol_gym_007,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_007_00001_.png,dataset_lora/images/elena_voss_008.png,gym,1.0,0.08336,0.09629,0.9875,14,0.8487,88.35,True,,0.40566,0.0
valentina_sol_gym_008,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_008_00001_.png,dataset_lora/images/elena_voss_009.png,gym,1.0,0.08514,0.17873,0.9698,14,1.0,86.8,True,,0.43145,0.0
valentina_sol_gym_013,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_013_00001_.png,dataset_lora/images/elena_voss_010.png,gym,1.0,0.10704,0.06998,0.9986,13,1.0,84.61,True,,0.50195,0.0
